,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
918,12786.0,78583.0,TX,Rio Hondo,111445.4036,113825.3631,114228.4733,127881.3762,150498.4672,161614.2854,
919,12796.0,75457.0,TX,Mount Vernon,157623.1624,163114.963,177618.4037,198522.1488,254078.941,263285.8475,
920,12821.0,79035.0,TX,Friona,104393.3497,103849.4054,114021.1234,124505.8256,144108.4994,140014.067,
921,12856.0,79536.0,TX,Merkel,105438.4827,112044.61,108377.407,122414.9857,148157.5293,154651.5692,
922,12890.0,78052.0,TX,Lytle,203102.1933,207143.3565,219086.3941,236904.137,273151.9671,282031.5058,
923,12929.0,78059.0,TX,Natalia,184938.0486,201379.254,220017.2271,240571.3653,292164.9249,291340.187,
924,12941.0,75124.0,TX,Eustace,169825.1432,182710.9823,194083.6753,222966.7097,285074.4635,298315.1386,
925,13006.0,75948.0,TX,Hemphill,125029.6207,139223.2144,145952.6578,163375.8009,206285.3507,204656.3402,
926,13011.0,75452.0,TX,Leonard,161898.0509,179656.7113,193942.6973,214630.3545,268940.7064,293068.594,
927,13023.0,75765.0,TX,Hawkins,149783.7898,159491.1752,177985.4258,203399.0113,257996.6329,268262.0007,
928,13031.0,79121.0,TX,Amarillo,225891.66,227275.1477,231476.0429,243222.3172,266271.3947,281389.0562,
929,13036.0,75939.0,TX,Corrigan,112819.432,114215.7317,125136.3838,128418.189,142802.184,156293.0718,
930,13054.0,78370.0,TX,Odem,158547.7102,166080.2467,182421.249,187502.7871,206006.0201,200327.9364,
931,13063.0,75141.0,TX,Hutchins,110238.1216,130817.01,149457.6477,165944.1845,196523.6224,224053.0091,
932,13088.0,76365.0,TX,Henrietta,90721.56187,103521.2182,108402.9225,116905.0327,140432.1129,150897.6677,
933,13101.0,75844.0,TX,Grapeland,117368.4471,128487.3728,137622.8922,147156.3404,201512.1103,193399.7034,
934,13106.0,75640.0,TX,Diana,176826.6019,185072.1212,189980.7292,204792.6255,240434.0284,259366.5684,
935,13123.0,79838.0,TX,Fabens,80870.11293,85619.15608,95331.70933,105593.4756,118150.5923,126183.5683,
936,13152.0,78962.0,TX,Weimar,158313.2376,165847.3848,175938.4818,201103.3621,263883.5703,249705.0519,
937,13154.0,76255.0,TX,Nocona,97231.31988,104435.8693,115800.4741,132300.2417,163032.3698,173613.1804,
938,13250.0,75226.0,TX,Dallas,210878.6263,259905.7158,290276.3003,313326.599,365838.1629,413578.3158,
939,13284.0,76462.0,TX,Lipan,248812.7357,266995.976,290418.3964,322789.5399,432342.7138,465660.1111,
940,13315.0,76834.0,TX,Coleman,56138.74215,59359.1472,58808.00676,68075.60623,76034.41479,75760.29345,
941,13323.0,78383.0,TX,Sandia,154121.5346,162942.3184,165862.9626,175835.194,205610.6134,220310.013,
942,13342.0,78361.0,TX,Hebbronville,78163.19091,80211.02526,83448.97538,92464.93587,82391.29841,74897.08342,
943,13346.0,78343.0,TX,Bishop,113586.6763,110908.4193,121661.8304,132610.181,139596.5211,131849.6236,
944,13353.0,75852.0,TX,Midway,176553.2064,185175.6798,191423.7713,223197.2165,295304.3866,318562.1843,
